index,category,description
65,spam email,"Exclusive deal just for you, click now"
66,ham email,Lunch plan for today?
67,ham email,Weekly report submission
68,ham email,Weekly report submission
69,spam email,"Congratulations, you won a lottery"
70,ham email,Project update: tasks completed
71,ham email,Reminder to submit your timesheet
72,spam email,"Exclusive deal just for you, click now"
73,ham email,"Happy birthday, have a great day"
74,ham email,Project update: tasks completed
75,ham email,Project update: tasks completed
76,spam email,Act now to secure your reward
77,ham email,Weekly report submission
78,spam email,Get rich quick with this simple trick
79,ham email,Let's catch up this weekend
80,spam email,"Your account has been compromised, verify now"
81,spam email,"Exclusive deal just for you, click now"
82,spam email,"Exclusive deal just for you, click now"
83,spam email,Claim your free gift card today
84,ham email,Invitation to team meeting
85,spam email,"Limited offer, earn money fast from home"
86,ham email,Reminder to submit your timesheet
87,spam email,"Exclusive deal just for you, click now"
88,spam email,"Win a free iPhone now, click here"
89,spam email,Claim your free gift card today
90,spam email,Get rich quick with this simple trick
91,ham email,Invitation to team meeting
92,spam email,Claim your free gift card today
93,ham email,Lunch plan for today?
94,ham email,Meeting scheduled for tomorrow at 10 AM
95,ham email,Please find attached the project report
96,ham email,Let's catch up this weekend
97,spam email,"Exclusive deal just for you, click now"
98,ham email,Invitation to team meeting
99,spam email,"Your account has been compromised, verify now"
100,ham email,Reminder to submit your timesheet
101,ham email,Lunch plan for today?
102,spam email,"Limited offer, earn money fast from home"
103,spam email,"Your account has been compromised, verify now"
104,spam email,"Exclusive deal just for you, click now"
105,ham email,Can we reschedule our call?
106,ham email,Please find attached the project report
107,ham email,Project update: tasks completed
108,ham email,Please find attached the project report
109,ham email,Let's catch up this weekend
110,spam email,"Win a free iPhone now, click here"
111,ham email,Meeting scheduled for tomorrow at 10 AM
112,ham email,Can we reschedule our call?
113,spam email,Act now to secure your reward
114,ham email,Reminder to submit your timesheet
115,spam email,"Win a free iPhone now, click here"
116,ham email,"Happy birthday, have a great day"
117,ham email,Meeting scheduled for tomorrow at 10 AM
118,ham email,Let's catch up this weekend
119,ham email,Meeting scheduled for tomorrow at 10 AM
120,spam email,You have been selected for a prize reward
121,ham email,Reminder to submit your timesheet
122,ham email,Reminder to submit your timesheet
123,ham email,Meeting scheduled for tomorrow at 10 AM
124,spam email,"Limited offer, earn money fast from home"
125,spam email,Urgent: update your bank details immediately
126,ham email,Please find attached the project report
127,spam email,"Your account has been compromised, verify now"
128,ham email,Let's catch up this weekend
129,spam email,"Your account has been compromised, verify now"
130,spam email,You have been selected for a prize reward
131,ham email,Project update: tasks completed
132,spam email,"Congratulations, you won a lottery"
133,ham email,Invitation to team meeting
134,ham email,Lunch plan for today?
135,ham email,Can we reschedule our call?
136,spam email,"Your account has been compromised, verify now"
137,spam email,You have been selected for a prize reward
138,spam email,"Congratulations, you won a lottery"
139,spam email,Urgent: update your bank details immediately
140,spam email,Urgent: update your bank details immediately
141,ham email,Let's catch up this weekend
142,spam email,Claim your free gift card today
143,ham email,Invitation to team meeting
144,ham email,Weekly report submission
145,ham email,Let's catch up this weekend
146,spam email,"Limited offer, earn money fast from home"
147,spam email,Act now to secure your reward
148,spam email,"Win a free iPhone now, click here"
149,spam email,"Congratulations, you won a lottery"
150,ham email,Lunch plan for today?
151,ham email,Invitation to team meeting
152,spam email,"Win a free iPhone now, click here"
153,spam email,Act now to secure your reward
154,ham email,Invitation to team meeting
155,spam email,Get rich quick with this simple trick
156,ham email,Project update: tasks completed
157,spam email,"Your account has been compromised, verify now"
158,spam email,Urgent: update your bank details immediately
159,spam email,"Your account has been compromised, verify now"
160,spam email,"Limited offer, earn money fast from home"
161,spam email,"Congratulations, you won a lottery"
162,ham email,Please find attached the project report
163,ham email,Meeting scheduled for tomorrow at 10 AM
164,spam email,Claim your free gift card today
165,ham email,Can we reschedule our call?
166,ham email,"Happy birthday, have a great day"
167,spam email,"Congratulations, you won a lottery"
168,ham email,Lunch plan for today?
169,spam email,"Win a free iPhone now, click here"
170,spam email,"Win a free iPhone now, click here"
171,spam email,"Win a free iPhone now, click here"
172,spam email,"Exclusive deal just for you, click now"
173,ham email,Project update: tasks completed
174,spam email,"Congratulations, you won a lottery"
175,ham email,Invitation to team meeting
176,spam email,"Limited offer, earn money fast from home"
177,spam email,"Exclusive deal just for you, click now"
178,ham email,Project update: tasks completed
179,ham email,Invitation to team meeting
180,spam email,Urgent: update your bank details immediately
181,ham email,Meeting scheduled for tomorrow at 10 AM
182,spam email,Act now to secure your reward
183,spam email,Get rich quick with this simple trick
184,ham email,Weekly report submission
185,spam email,"Win a free iPhone now, click here"
186,ham email,Can we reschedule our call?
187,ham email,Invitation to team meeting
188,spam email,"Exclusive deal just for you, click now"
189,spam email,Act now to secure your reward
190,ham email,"Happy birthday, have a great day"
191,ham email,"Happy birthday, have a great day"
192,ham email,Please find attached the project report
193,ham email,Lunch plan for today?
194,spam email,"Your account has been compromised, verify now"
195,spam email,"Congratulations, you won a lottery"
196,ham email,"Happy birthday, have a great day"
197,spam email,Act now to secure your reward
198,ham email,Reminder to submit your timesheet
199,spam email,"Congratulations, you won a lottery"
200,ham email,Let's catch up this weekend
201,ham email,Can we reschedule our call?
202,spam email,Claim your free gift card today
203,spam email,You have been selected for a prize reward
204,ham email,"Happy birthday, have a great day"
205,ham email,Reminder to submit your timesheet
206,spam email,Act now to secure your reward
207,ham email,Reminder to submit your timesheet
208,spam email,Act now to secure your reward
209,ham email,Reminder to submit your timesheet
210,spam email,Claim your free gift card today
211,spam email,"Your account has been compromised, verify now"
212,ham email,"Happy birthday, have a great day"
213,spam email,Act now to secure your reward
214,ham email,Lunch plan for today?
215,ham email,Lunch plan for today?
216,ham email,Reminder to submit your timesheet
217,ham email,Can we reschedule our call?
218,ham email,Can we reschedule our call?
219,ham email,Project update: tasks completed
220,spam email,"Congratulations, you won a lottery"
221,spam email,Act now to secure your reward
222,ham email,Invitation to team meeting
223,spam email,"Win a free iPhone now, click here"
224,spam email,"Exclusive deal just for you, click now"
225,ham email,Lunch plan for today?
226,ham email,Project update: tasks completed
227,ham email,Weekly report submission
228,ham email,Meeting scheduled for tomorrow at 10 AM
229,spam email,"Your account has been compromised, verify now"
230,spam email,Act now to secure your reward
231,spam email,"Limited offer, earn money fast from home"
232,ham email,Meeting scheduled for tomorrow at 10 AM
233,ham email,"Happy birthday, have a great day"
234,spam email,Claim your free gift card today
235,ham email,Let's catch up this weekend
236,ham email,Can we reschedule our call?
237,spam email,"Limited offer, earn money fast from home"
238,ham email,Please find attached the project report
239,ham email,Weekly report submission
240,spam email,"Limited offer, earn money fast from home"
241,ham email,"Happy birthday, have a great day"
242,spam email,Claim your free gift card today
243,ham email,Project update: tasks completed
244,spam email,Get rich quick with this simple trick
245,spam email,"Exclusive deal just for you, click now"
246,spam email,"Exclusive deal just for you, click now"
247,ham email,Lunch plan for today?
248,ham email,Invitation to team meeting
249,spam email,"Limited offer, earn money fast from home"
250,spam email,You have been selected for a prize reward
251,ham email,Weekly report submission
252,ham email,Lunch plan for today?
253,ham email,Reminder to submit your timesheet
254,ham email,Lunch plan for today?
255,ham email,Meeting scheduled for tomorrow at 10 AM
256,ham email,Meeting scheduled for tomorrow at 10 AM
257,ham email,Meeting scheduled for tomorrow at 10 AM
258,ham email,Lunch plan for today?
259,ham email,Can we reschedule our call?
260,ham email,Can we reschedule our call?
261,spam email,"Limited offer, earn money fast from home"
262,ham email,Can we reschedule our call?
263,spam email,"Exclusive deal just for you, click now"
264,spam email,Urgent: update your bank details immediately
265,spam email,You have been selected for a prize reward
266,ham email,Can we reschedule our call?
267,spam email,You have been selected for a prize reward
268,spam email,"Your account has been compromised, verify now"
269,ham email,Let's catch up this weekend
270,spam email,"Win a free iPhone now, click here"
271,spam email,Urgent: update your bank details immediately
272,ham email,Can we reschedule our call?
273,spam email,Get rich quick with this simple trick
274,spam email,"Limited offer, earn money fast from home"
275,spam email,"Win a free iPhone now, click here"
276,ham email,Lunch plan for today?
277,spam email,You have been selected for a prize reward
278,spam email,"Win a free iPhone now, click here"
279,ham email,Meeting scheduled for tomorrow at 10 AM
280,spam email,"Limited offer, earn money fast from home"
281,ham email,Invitation to team meeting
282,spam email,"Your account has been compromised, verify now"
283,ham email,"Happy birthday, have a great day"
284,ham email,"Happy birthday, have a great day"
285,ham email,Let's catch up this weekend
286,spam email,"Limited offer, earn money fast from home"
287,ham email,Lunch plan for today?
288,spam email,Urgent: update your bank details immediately
289,ham email,Reminder to submit your timesheet
290,ham email,Weekly report submission
291,spam email,You have been selected for a prize reward
292,ham email,Project update: tasks completed
293,spam email,Get rich quick with this simple trick
294,spam email,Urgent: update your bank details immediately
295,ham email,Invitation to team meeting
296,ham email,Project update: tasks completed
297,ham email,Weekly report submission
298,ham email,Lunch plan for today?
299,spam email,Get rich quick with this simple trick
300,ham email,Meeting scheduled for tomorrow at 10 AM
301,spam email,Get rich quick with this simple trick
302,ham email,Invitation to team meeting
303,spam email,"Congratulations, you won a lottery"
304,ham email,Weekly report submission
305,ham email,Please find attached the project report
306,ham email,Meeting scheduled for tomorrow at 10 AM
307,spam email,"Limited offer, earn money fast from home"
308,spam email,Get rich quick with this simple trick
309,spam email,You have been selected for a prize reward
310,ham email,Can we reschedule our call?
311,spam email,"Win a free iPhone now, click here"
312,ham email,Lunch plan for today?
313,ham email,Invitation to team meeting
314,ham email,Can we reschedule our call?
315,ham email,"Happy birthday, have a great day"
316,spam email,Act now to secure your reward
317,spam email,You have been selected for a prize reward
318,ham email,Weekly report submission
319,ham email,Lunch plan for today?
320,spam email,"Your account has been compromised, verify now"
321,spam email,"Exclusive deal just for you, click now"
322,ham email,Weekly report submission
323,spam email,"Limited offer, earn money fast from home"
324,ham email,"Happy birthday, have a great day"
325,spam email,"Your account has been compromised, verify now"
326,spam email,Claim your free gift card today
327,spam email,You have been selected for a prize reward
328,spam email,Act now to secure your reward
329,ham email,Project update: tasks completed
330,spam email,"Your account has been compromised, verify now"
331,ham email,Please find attached the project report
332,spam email,"Win a free iPhone now, click here"
333,ham email,Lunch plan for today?
334,ham email,Please find attached the project report
335,spam email,You have been selected for a prize reward
336,spam email,"Your account has been compromised, verify now"
337,ham email,Let's catch up this weekend
338,ham email,Please find attached the project report
339,spam email,Urgent: update your bank details immediately
340,spam email,Urgent: update your bank details immediately
341,spam email,"Exclusive deal just for you, click now"
342,ham email,Invitation to team meeting
343,spam email,"Limited offer, earn money fast from home"
344,ham email,Invitation to team meeting
345,spam email,Urgent: update your bank details immediately
346,spam email,"Exclusive deal just for you, click now"
347,ham email,Let's catch up this weekend
348,spam email,"Limited offer, earn money fast from home"
349,ham email,Invitation to team meeting
350,ham email,Please find attached the project report
351,spam email,"Your account has been compromised, verify now"
352,spam email,"Your account has been compromised, verify now"
353,spam email,You have been selected for a prize reward
354,spam email,"Limited offer, earn money fast from home"
355,ham email,Let's catch up this weekend
356,spam email,"Your account has been compromised, verify now"
357,spam email,"Limited offer, earn money fast from home"
358,ham email,Let's catch up this weekend
359,spam email,Act now to secure your reward
360,spam email,"Win a free iPhone now, click here"
361,ham email,Meeting scheduled for tomorrow at 10 AM
362,spam email,You have been selected for a prize reward
363,ham email,Project update: tasks completed
364,ham email,Reminder to submit your timesheet
365,spam email,"Limited offer, earn money fast from home"
366,spam email,You have been selected for a prize reward
367,ham email,Let's catch up this weekend
368,spam email,Claim your free gift card today
369,spam email,"Congratulations, you won a lottery"
370,ham email,Meeting scheduled for tomorrow at 10 AM
371,spam email,Claim your free gift card today
372,ham email,Meeting scheduled for tomorrow at 10 AM
373,ham email,Lunch plan for today?
374,ham email,Please find attached the project report
375,spam email,"Exclusive deal just for you, click now"
376,spam email,Urgent: update your bank details immediately
377,spam email,Claim your free gift card today
378,spam email,"Limited offer, earn money fast from home"
379,spam email,"Limited offer, earn money fast from home"
380,ham email,Lunch plan for today?
381,ham email,Weekly report submission
382,ham email,Meeting scheduled for tomorrow at 10 AM
383,spam email,Get rich quick with this simple trick
384,spam email,Urgent: update your bank details immediately
385,ham email,Meeting scheduled for tomorrow at 10 AM
386,ham email,Please find attached the project report
387,ham email,Let's catch up this weekend
388,spam email,Claim your free gift card today
389,ham email,Reminder to submit your timesheet
390,ham email,Meeting scheduled for tomorrow at 10 AM
391,ham email,Meeting scheduled for tomorrow at 10 AM
392,spam email,Act now to secure your reward
393,ham email,Lunch plan for today?
394,spam email,"Exclusive deal just for you, click now"
395,ham email,Invitation to team meeting
396,spam email,Urgent: update your bank details immediately
397,spam email,"Win a free iPhone now, click here"
398,ham email,Meeting scheduled for tomorrow at 10 AM
399,spam email,Get rich quick with this simple trick
400,ham email,Can we reschedule our call?
401,ham email,Invitation to team meeting
402,ham email,Meeting scheduled for tomorrow at 10 AM
403,spam email,"Your account has been compromised, verify now"
404,ham email,"Happy birthday, have a great day"
405,spam email,Claim your free gift card today
406,ham email,"Happy birthday, have a great day"
407,spam email,Act now to secure your reward
408,spam email,Urgent: update your bank details immediately
409,ham email,Meeting scheduled for tomorrow at 10 AM
410,ham email,Meeting scheduled for tomorrow at 10 AM
411,spam email,You have been selected for a prize reward
412,spam email,You have been selected for a prize reward
413,ham email,Meeting scheduled for tomorrow at 10 AM
414,spam email,Urgent: update your bank details immediately
415,ham email,Please find attached the project report
416,spam email,"Limited offer, earn money fast from home"
417,spam email,"Exclusive deal just for you, click now"
418,spam email,"Win a free iPhone now, click here"
419,spam email,"Congratulations, you won a lottery"
420,ham email,Please find attached the project report
421,ham email,Please find attached the project report
422,spam email,"Win a free iPhone now, click here"
423,spam email,Act now to secure your reward
424,spam email,"Limited offer, earn money fast from home"
425,spam email,Act now to secure your reward
426,ham email,Let's catch up this weekend
427,spam email,You have been selected for a prize reward
428,ham email,Weekly report submission
429,spam email,Claim your free gift card today
430,ham email,Please find attached the project report
431,ham email,Project update: tasks completed
432,spam email,Claim your free gift card today
433,ham email,Can we reschedule our call?
434,ham email,"Happy birthday, have a great day"
435,spam email,"Congratulations, you won a lottery"
436,spam email,"Exclusive deal just for you, click now"
437,ham email,Please find attached the project report
438,spam email,You have been selected for a prize reward
439,spam email,"Exclusive deal just for you, click now"
440,ham email,Lunch plan for today?
441,ham email,Can we reschedule our call?
442,ham email,Reminder to submit your timesheet
443,spam email,"Your account has been compromised, verify now"
444,ham email,Invitation to team meeting
445,ham email,Let's catch up this weekend
446,spam email,Act now to secure your reward
447,spam email,Urgent: update your bank details immediately
448,ham email,Invitation to team meeting
449,ham email,"Happy birthday, have a great day"
450,ham email,Weekly report submission
451,spam email,Urgent: update your bank details immediately
452,spam email,Claim your free gift card today
453,spam email,Act now to secure your reward
454,spam email,You have been selected for a prize reward
455,ham email,Reminder to submit your timesheet
456,spam email,"Congratulations, you won a lottery"
457,ham email,Lunch plan for today?
458,spam email,"Congratulations, you won a lottery"
459,spam email,You have been selected for a prize reward
460,ham email,Lunch plan for today?
461,ham email,Meeting scheduled for tomorrow at 10 AM
462,spam email,"Exclusive deal just for you, click now"
463,spam email,Urgent: update your bank details immediately
464,spam email,"Limited offer, earn money fast from home"
465,spam email,"Limited offer, earn money fast from home"
466,spam email,"Limited offer, earn money fast from home"
467,spam email,Claim your free gift card today
468,ham email,"Happy birthday, have a great day"
469,spam email,Get rich quick with this simple trick
470,ham email,Reminder to submit your timesheet
471,ham email,Invitation to team meeting
472,spam email,"Congratulations, you won a lottery"
473,spam email,Act now to secure your reward
474,spam email,Urgent: update your bank details immediately
475,ham email,Let's catch up this weekend
476,ham email,Please find attached the project report
477,spam email,Act now to secure your reward
478,ham email,Invitation to team meeting
479,spam email,Claim your free gift card today
480,ham email,Project update: tasks completed
481,spam email,Urgent: update your bank details immediately
482,ham email,Invitation to team meeting
483,spam email,Urgent: update your bank details immediately
484,ham email,Lunch plan for today?
485,spam email,Get rich quick with this simple trick
486,ham email,Invitation to team meeting
487,ham email,Can we reschedule our call?
488,spam email,Claim your free gift card today
489,ham email,Please find attached the project report
490,spam email,You have been selected for a prize reward
491,spam email,Act now to secure your reward
492,spam email,Get rich quick with this simple trick
493,spam email,"Your account has been compromised, verify now"
494,ham email,Reminder to submit your timesheet
495,ham email,Invitation to team meeting
496,ham email,Can we reschedule our call?
497,ham email,Let's catch up this weekend
498,ham email,"Happy birthday, have a great day"
499,ham email,Project update: tasks completed
500,ham email,Reminder to submit your timesheet
501,ham email,Invitation to team meeting
502,spam email,You have been selected for a prize reward
503,ham email,Please find attached the project report
504,spam email,"Exclusive deal just for you, click now"
505,ham email,"Happy birthday, have a great day"
506,spam email,Urgent: update your bank details immediately
507,ham email,Lunch plan for today?
508,ham email,Let's catch up this weekend
509,spam email,"Limited offer, earn money fast from home"
510,ham email,"Happy birthday, have a great day"
511,ham email,Project update: tasks completed
512,spam email,Urgent: update your bank details immediately
513,ham email,Reminder to submit your timesheet
514,ham email,Can we reschedule our call?
515,spam email,Get rich quick with this simple trick
516,spam email,"Win a free iPhone now, click here"
517,ham email,Meeting scheduled for tomorrow at 10 AM
518,spam email,Act now to secure your reward
519,spam email,"Congratulations, you won a lottery"
520,ham email,Weekly report submission
521,ham email,"Happy birthday, have a great day"
522,ham email,"Happy birthday, have a great day"
523,ham email,Reminder to submit your timesheet
524,ham email,Please find attached the project report
525,ham email,Project update: tasks completed
526,ham email,Please find attached the project report
527,spam email,Get rich quick with this simple trick
528,spam email,"Exclusive deal just for you, click now"
529,spam email,Get rich quick with this simple trick
530,spam email,"Your account has been compromised, verify now"
531,ham email,Weekly report submission
532,ham email,"Happy birthday, have a great day"
533,ham email,Please find attached the project report
534,spam email,Get rich quick with this simple trick
535,spam email,"Congratulations, you won a lottery"
536,spam email,You have been selected for a prize reward
537,spam email,Urgent: update your bank details immediately
538,ham email,Lunch plan for today?
539,ham email,Meeting scheduled for tomorrow at 10 AM
540,spam email,"Congratulations, you won a lottery"
541,ham email,Weekly report submission
542,ham email,Let's catch up this weekend
543,ham email,Let's catch up this weekend
544,ham email,"Happy birthday, have a great day"
545,spam email,"Congratulations, you won a lottery"
546,spam email,"Limited offer, earn money fast from home"
547,ham email,Meeting scheduled for tomorrow at 10 AM
548,ham email,Weekly report submission
549,spam email,"Win a free iPhone now, click here"
550,spam email,You have been selected for a prize reward
551,ham email,Please find attached the project report
552,ham email,Invitation to team meeting
553,spam email,"Congratulations, you won a lottery"
554,spam email,"Exclusive deal just for you, click now"
555,ham email,Let's catch up this weekend
556,spam email,"Exclusive deal just for you, click now"
557,ham email,Please find attached the project report
558,ham email,Let's catch up this weekend
559,spam email,"Limited offer, earn money fast from home"
560,spam email,Urgent: update your bank details immediately
561,spam email,Get rich quick with this simple trick
562,spam email,Claim your free gift card today
563,ham email,"Happy birthday, have a great day"
564,ham email,Lunch plan for today?
565,ham email,Please find attached the project report
566,ham email,Please find attached the project report
567,ham email,Invitation to team meeting
568,ham email,Meeting scheduled for tomorrow at 10 AM
569,ham email,Meeting scheduled for tomorrow at 10 AM
570,spam email,"Your account has been compromised, verify now"
571,ham email,"Happy birthday, have a great day"
572,ham email,Invitation to team meeting
573,spam email,Claim your free gift card today
574,ham email,Meeting scheduled for tomorrow at 10 AM
575,ham email,Lunch plan for today?
576,ham email,Please find attached the project report
577,ham email,Lunch plan for today?
578,spam email,"Exclusive deal just for you, click now"
579,ham email,Invitation to team meeting
580,ham email,Can we reschedule our call?
581,ham email,Reminder to submit your timesheet
582,spam email,"Congratulations, you won a lottery"
583,spam email,Claim your free gift card today
584,ham email,Invitation to team meeting
585,spam email,Claim your free gift card today
586,ham email,Let's catch up this weekend
587,ham email,Project update: tasks completed
588,ham email,Let's catch up this weekend
589,spam email,"Exclusive deal just for you, click now"
590,ham email,Meeting scheduled for tomorrow at 10 AM
591,ham email,Please find attached the project report
592,ham email,"Happy birthday, have a great day"
593,spam email,"Congratulations, you won a lottery"
594,spam email,"Win a free iPhone now, click here"
595,spam email,Claim your free gift card today
596,spam email,"Win a free iPhone now, click here"
597,ham email,Let's catch up this weekend
598,ham email,Please find attached the project report
599,spam email,Get rich quick with this simple trick
600,ham email,Meeting scheduled for tomorrow at 10 AM
601,ham email,Please find attached the project report
602,spam email,"Limited offer, earn money fast from home"
603,spam email,"Win a free iPhone now, click here"
604,ham email,Meeting scheduled for tomorrow at 10 AM
605,spam email,"Your account has been compromised, verify now"
606,spam email,"Exclusive deal just for you, click now"
607,spam email,"Limited offer, earn money fast from home"
608,ham email,Meeting scheduled for tomorrow at 10 AM
609,ham email,Let's catch up this weekend
610,spam email,You have been selected for a prize reward
611,spam email,"Limited offer, earn money fast from home"
612,ham email,Project update: tasks completed
613,spam email,Get rich quick with this simple trick
614,ham email,Project update: tasks completed
615,ham email,Project update: tasks completed
616,ham email,Weekly report submission
617,spam email,"Your account has been compromised, verify now"
618,spam email,Get rich quick with this simple trick
619,ham email,Can we reschedule our call?
620,ham email,Invitation to team meeting
621,spam email,"Congratulations, you won a lottery"
622,spam email,"Congratulations, you won a lottery"
623,ham email,Weekly report submission
624,spam email,"Your account has been compromised, verify now"
625,spam email,"Limited offer, earn money fast from home"
626,spam email,Claim your free gift card today
627,spam email,"Congratulations, you won a lottery"
628,spam email,"Exclusive deal just for you, click now"
629,ham email,Meeting scheduled for tomorrow at 10 AM
630,ham email,Lunch plan for today?
631,spam email,Claim your free gift card today
632,spam email,Claim your free gift card today
633,ham email,Reminder to submit your timesheet
634,spam email,Claim your free gift card today
635,spam email,"Congratulations, you won a lottery"
636,ham email,"Happy birthday, have a great day"
637,ham email,Please find attached the project report
638,ham email,Project update: tasks completed
639,spam email,Urgent: update your bank details immediately
640,ham email,Lunch plan for today?
641,ham email,Project update: tasks completed
642,ham email,Project update: tasks completed
643,ham email,"Happy birthday, have a great day"
644,spam email,"Win a free iPhone now, click here"
645,ham email,Please find attached the project report
646,spam email,Act now to secure your reward
647,spam email,You have been selected for a prize reward
648,ham email,Meeting scheduled for tomorrow at 10 AM
649,ham email,"Happy birthday, have a great day"
650,ham email,Project update: tasks completed
651,spam email,Claim your free gift card today
652,ham email,Weekly report submission
653,ham email,Meeting scheduled for tomorrow at 10 AM
654,spam email,"Exclusive deal just for you, click now"
655,ham email,Invitation to team meeting
656,ham email,Lunch plan for today?
657,ham email,Please find attached the project report
658,ham email,Lunch plan for today?
659,ham email,Meeting scheduled for tomorrow at 10 AM
660,spam email,"Limited offer, earn money fast from home"
661,spam email,"Limited offer, earn money fast from home"
662,spam email,"Congratulations, you won a lottery"
663,ham email,Let's catch up this weekend
664,ham email,Lunch plan for today?
665,ham email,Let's catch up this weekend
666,ham email,Project update: tasks completed
667,spam email,Act now to secure your reward
668,ham email,Meeting scheduled for tomorrow at 10 AM
669,ham email,Invitation to team meeting
670,spam email,"Your account has been compromised, verify now"
671,ham email,"Happy birthday, have a great day"
672,spam email,"Exclusive deal just for you, click now"
673,ham email,Weekly report submission
674,ham email,Please find attached the project report
675,ham email,Let's catch up this weekend
676,spam email,You have been selected for a prize reward
677,spam email,"Limited offer, earn money fast from home"
678,ham email,Let's catch up this weekend
679,spam email,Claim your free gift card today
680,spam email,You have been selected for a prize reward
681,ham email,Project update: tasks completed
682,ham email,Meeting scheduled for tomorrow at 10 AM
683,spam email,"Exclusive deal just for you, click now"
684,spam email,You have been selected for a prize reward
685,ham email,"Happy birthday, have a great day"
686,ham email,Invitation to team meeting
687,ham email,Lunch plan for today?
688,ham email,Let's catch up this weekend
689,ham email,Let's catch up this weekend
690,ham email,Invitation to team meeting
691,ham email,Project update: tasks completed
692,spam email,Claim your free gift card today
693,spam email,Urgent: update your bank details immediately
694,ham email,"Happy birthday, have a great day"
695,spam email,Get rich quick with this simple trick
696,spam email,"Limited offer, earn money fast from home"
697,ham email,Let's catch up this weekend
698,spam email,You have been selected for a prize reward
699,spam email,"Congratulations, you won a lottery"
700,ham email,Please find attached the project report
701,spam email,Claim your free gift card today
702,spam email,Get rich quick with this simple trick
703,spam email,"Win a free iPhone now, click here"
704,ham email,Can we reschedule our call?
705,spam email,"Limited offer, earn money fast from home"
706,ham email,Can we reschedule our call?
707,spam email,Urgent: update your bank details immediately
708,spam email,Get rich quick with this simple trick
709,ham email,Reminder to submit your timesheet
710,ham email,Let's catch up this weekend
711,ham email,Please find attached the project report
712,ham email,Project update: tasks completed
713,ham email,Meeting scheduled for tomorrow at 10 AM
714,spam email,"Win a free iPhone now, click here"
715,ham email,Can we reschedule our call?
716,spam email,Urgent: update your bank details immediately
717,spam email,"Win a free iPhone now, click here"
718,ham email,Weekly report submission
719,ham email,Project update: tasks completed
720,ham email,Weekly report submission
721,spam email,Urgent: update your bank details immediately
722,ham email,Invitation to team meeting
723,ham email,Can we reschedule our call?
724,ham email,"Happy birthday, have a great day"
725,spam email,Claim your free gift card today
726,ham email,Weekly report submission
727,ham email,Lunch plan for today?
728,ham email,"Happy birthday, have a great day"
729,spam email,You have been selected for a prize reward
730,ham email,Reminder to submit your timesheet
731,spam email,You have been selected for a prize reward
732,spam email,Get rich quick with this simple trick
733,spam email,Act now to secure your reward
734,spam email,You have been selected for a prize reward
735,ham email,Lunch plan for today?
736,ham email,Meeting scheduled for tomorrow at 10 AM
737,ham email,Let's catch up this weekend
738,spam email,Get rich quick with this simple trick
739,spam email,Urgent: update your bank details immediately
740,spam email,Claim your free gift card today
741,ham email,Please find attached the project report
742,ham email,Weekly report submission
743,spam email,You have been selected for a prize reward
744,spam email,Claim your free gift card today
745,ham email,Invitation to team meeting
746,ham email,Lunch plan for today?
